bill,sponsors
SB91,J. Adams
SB91,R. Alvarado
SB91,D. Carroll
SB91,S. Humphries
SB91,A. Kerr
SB91,M. McGarvey
SB91,R. Thomas
SB92,D. Ridley
SB93,R. Alvarado
SB94,R. Alvarado
SB95,R. Alvarado
SB96,J. Adams
SB97,T. Buford
SB98,T. Buford
SB99,R. Alvarado
SB99,S. West
SB99,J. Adams
SB99,T. Buford
SB99,J. Carpenter
SB99,D. Carroll
SB99,R. Girdler
SB99,S. Meredith
SB99,W. Schroder
SB99,D. Seum
SB99,M. Wise
