Bill,Sponsor
SB 5,J. Bowen
SB 5,D. Carroll
SB 5,C. Embry Jr.
SB 5,R. Girdler
SB 5,S. Meredith
SB 5,D. Parrett
SB 5,A. Robinson
SB 5,J. Schickel
SB 5,D. Seum
SB 5,D. Thayer
SB 5,M. Wilson
SB 5,M. Wise
SB 50,D. Thayer
SB 50,R. Alvarado
SB 50,P. Hornback
SB 6,R. Stivers II
SB 6,R. Alvarado
SB 6,D. Seum
SB 6,D. Thayer
SB 6,M. Wise
SB 62,M. McGarvey
SB 62,T. Buford
SB 73,C. Embry Jr.
SB 75,D. Thayer
SB 75,R. Stivers II
SB 75,W. Schroder
SB 79,R. Alvarado
SB 79,D. Carroll
SB 79,C. Embry Jr.
SB 8,M. Wise
SB 8,C. Embry Jr.
SB 8,R. Girdler
SB 8,S. Meredith
SB 8,D. Thayer
SB 8,S. West
SB 8,W. Westerfield
SB 8,M. Wilson
SB 81,C. Embry Jr.
SB 83,T. Buford
SB 89,J. Adams
SB 89,R. Alvarado
SB 89,D. Carroll
SB 89,C. Embry Jr.
SB 89,D. Harper Angel
SB 89,M. McGarvey
SB 91,J. Adams
SB 91,R. Alvarado
SB 91,D. Carroll
SB 91,C. Embry Jr.
SB 91,D. Harper Angel
SB 91,S. Humphries
SB 91,A. Kerr
SB 91,M. McGarvey
SB 91,R. Thomas
SJR 57,D. Givens
