Name,HB027,HB215,HB234,HB238,HB364,HB390,HB471,HB473,SB011,SB012,SB032,SB126,SB135,SB006
Harris,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Hart,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Hatton,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Heath,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Herald,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Hoover,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Horlander,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Imes,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Jenkins,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Johnson D,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Johnson DJ,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Kay,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA
Keene,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA
King,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Koenig,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Lee,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Linder,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Marzian,YEA,YEA,NAY,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Mayfield,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
McCoy,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Meade,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Meeks,YEA,YEA,NAY,YEA,YEA,NV,NAY,NAY,YEA,NV,YEA,YEA,YEA,NAY
Meredith,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Meyer,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Miles,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,NV,NV,NV,NAY
Miller C,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Miller J,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Mills,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Moffett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Moore,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Morgan,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY
Moser,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Nelson,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Nemes,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Osborne,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Overly,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Owens,YEA,YEA,NAY,YEA,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Palumbo,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Petrie,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Pratt,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Prunty,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY
Rader,NV,NV,NAY,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NAY
Rand,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Reed,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Richards,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY
Riggs,YEA,YEA,YEA,NV,YEA,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA
Riley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Rothenburger,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Rowland,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,NV,NAY,YEA,YEA,YEA,NAY
Rudy,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Santoro,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Schamore,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Scott,YEA,YEA,NAY,YEA,NV,NV,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Shell,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Simpson,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Sims,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Sinnette,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
St. Onge,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Stewart,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Stone,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Thomas,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Tipton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Turner,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Upchurch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Watkins,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY
Wayne,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NV,NV,NV,NV,NV,NAY
Webber,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Wells,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Westrom,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NV,YEA,YEA,YEA,YEA
Wuchner,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
York,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA
