"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB376",2,"Adkins","HB376","NAY"
"ga2017HB270",2,"Adkins","HB270","YEA"
"ga2017SB089",2,"Adkins","SB089","YEA"
"ga2017SB017",2,"Adkins","SB017","YEA"
"ga2017HB262",2,"Adkins","HB262","YEA"
"ga2017HB308",2,"Adkins","HB308","YEA"
"ga2017HB156",2,"Adkins","HB156","YEA"
"ga2017HB253",2,"Adkins","HB253","YEA"
"ga2017HB129",2,"Adkins","HB129","YEA"
"ga2017HB453",2,"Adkins","HB453","NAY"
"ga2017SB126",2,"Adkins","SB126","YEA"
"ga2017HB236",2,"Adkins","HB236","YEA"
"ga2017HB360",2,"Adkins","HB360","NV"
"ga2017SB073",2,"Adkins","SB073","YEA"
"ga2017SB006",2,"Adkins","SB006","NAY"
"ga2017HB296",2,"Adkins","HB296","NAY"
"ga2017SB116",2,"Adkins","SB116","YEA"
"ga2017SB104",2,"Adkins","SB104","YEA"
"ga2017HB408",2,"Adkins","HB408","YEA"
"ga2017HB027",2,"Adkins","HB027","YEA"
"ga2017HB067",2,"Adkins","HB067","NAY"
"ga2017HB177",2,"Adkins","HB177","NAY"
"ga2017SB075",2,"Adkins","SB075","NAY"
"ga2017HB394",2,"Adkins","HB394","NAY"
"ga2017HB330",2,"Adkins","HB330","YEA"
"ga2017SB120",2,"Adkins","SB120","YEA"
"ga2017HB215",2,"Adkins","HB215","YEA"
"ga2017HB388",2,"Adkins","HB388","YEA"
"ga2017HB231",2,"Adkins","HB231","YEA"
"ga2017HB128",2,"Adkins","HB128","YEA"
"ga2017HB001",2,"Adkins","HB001","NAY"
"ga2017HB144",2,"Adkins","HB144","YEA"
"ga2017HCR90",2,"Adkins","HCR90","YEA"
"ga2017SB011",2,"Adkins","SB011","NAY"
"ga2017SB101",2,"Adkins","SB101","YEA"
"ga2017HB060",2,"Adkins","HB060","YEA"
"ga2017HB033",2,"Adkins","HB033","YEA"
"ga2017HB481",2,"Adkins","HB481","YEA"
"ga2017HB058",2,"Adkins","HB058","NAY"
"ga2017SB135",2,"Adkins","SB135","YEA"
"ga2017SB004",2,"Adkins","SB004","NAY"
"ga2017HB246",2,"Adkins","HB246","NAY"
"ga2017SB081",2,"Adkins","SB081","YEA"
"ga2017HB195",2,"Adkins","HB195","YEA"
"ga2017HB289",4,"Bechler","HB289","YEA"
"ga2017SB128",4,"Bechler","SB128","YEA"
"ga2017HB343",4,"Bechler","HB343","YEA"
"ga2017HB158",4,"Bechler","HB158","YEA"
"ga2017HB050",4,"Bechler","HB050","YEA"
"ga2017HB299",4,"Bechler","HB299","YEA"
"ga2017HB223",4,"Bechler","HB223","YEA"
"ga2017HB153",4,"Bechler","HB153","YEA"
"ga2017SB083",4,"Bechler","SB083","YEA"
"ga2017HB207",4,"Bechler","HB207","NAY"
"ga2017HB078",4,"Bechler","HB078","YEA"
"ga2017HB448",4,"Bechler","HB448","YEA"
"ga2017SB122",4,"Bechler","SB122","YEA"
"ga2017SB140",4,"Bechler","SB140","YEA"
"ga2017HB293",4,"Bechler","HB293","YEA"
"ga2017HB366",4,"Bechler","HB366","YEA"
"ga2017SB197",4,"Bechler","SB197","YEA"
"ga2017HB075",4,"Bechler","HB075","YEA"
"ga2017HB271",4,"Bechler","HB271","YEA"
"ga2017HB265",4,"Bechler","HB265","YEA"
"ga2017HB255",4,"Bechler","HB255","YEA"
"ga2017HB482",4,"Bechler","HB482","YEA"
"ga2017SB129",4,"Bechler","SB129","YEA"
"ga2017HB502",4,"Bechler","HB502","YEA"
"ga2017HB113",4,"Bechler","HB113","YEA"
"ga2017HB304",4,"Bechler","HB304","YEA"
"ga2017HB163",4,"Bechler","HB163","YEA"
"ga2017HB525",4,"Bechler","HB525","YEA"
"ga2017SB032",4,"Bechler","SB032","YEA"
"ga2017SB238",4,"Bechler","SB238","YEA"
"ga2017SB114",4,"Bechler","SB114","YEA"
"ga2017HB252",4,"Bechler","HB252","NAY"
"ga2017HJR56",4,"Bechler","HJR56","YEA"
"ga2017HB239",4,"Bechler","HB239","YEA"
"ga2017HB324",4,"Bechler","HB324","YEA"
"ga2017SB091",4,"Bechler","SB091","YEA"
"ga2017HB540",4,"Bechler","HB540","NV"
"ga2017SB183",4,"Bechler","SB183","YEA"
"ga2017HB096",4,"Bechler","HB096","YEA"
"ga2017HB074",4,"Bechler","HB074","YEA"
"ga2017HB192",4,"Bechler","HB192","YEA"
"ga2017HB189",4,"Bechler","HB189","YEA"
"ga2017HB520",4,"Bechler","HB520","YEA"
"ga2017SB005",4,"Bechler","SB005","YEA"
"ga2017SB050",4,"Bechler","SB050","YEA"
"ga2017HB145",4,"Bechler","HB145","YEA"
"ga2017HB539",4,"Bechler","HB539","YEA"
"ga2017HB226",4,"Bechler","HB226","YEA"
"ga2017HB173",4,"Bechler","HB173","YEA"
"ga2017SB012",4,"Bechler","SB012","NAY"
"ga2017SB139",4,"Bechler","SB139","YEA"
"ga2017SB001",4,"Bechler","SB001","YEA"
"ga2017HB244",4,"Bechler","HB244","YEA"
"ga2017HB119",4,"Bechler","HB119","YEA"
"ga2017HB038",4,"Bechler","HB038","YEA"
"ga2017HB225",4,"Bechler","HB225","YEA"
"ga2017HB492",4,"Bechler","HB492","YEA"
"ga2017HB035",4,"Bechler","HB035","NAY"
"ga2017SB176",4,"Bechler","SB176","YEA"
"ga2017HB257",4,"Bechler","HB257","YEA"
"ga2017HB311",4,"Bechler","HB311","YEA"
"ga2017HB191",4,"Bechler","HB191","YEA"
"ga2017HB026",4,"Bechler","HB026","YEA"
