"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB050",97,"Richards","HB050","YAY"
"ga2017HB498",97,"Richards","HB498","YAY"
"ga2017HB337",97,"Richards","HB337","YAY"
"ga2017HB289",97,"Richards","HB289","YAY"
"ga2017HB001",97,"Richards","HB001","NAY"
"ga2017SB104",97,"Richards","SB104","YEA"
"ga2017HB453",97,"Richards","HB453","NAY"
"ga2017HB308",97,"Richards","HB308","YAY"
"ga2017HB119",97,"Richards","HB119","YAY"
"ga2017HB163",97,"Richards","HB163","YAY"
"ga2017HB242",97,"Richards","HB242","NAY"
"ga2017HB038",97,"Richards","HB038","YAY"
"ga2017SB011",97,"Richards","SB011","YEA"
"ga2017HB410",97,"Richards","HB410","YAY"
"ga2017HB265",97,"Richards","HB265","YAY"
"ga2017HB113",97,"Richards","HB113","YAY"
"ga2017HB307",97,"Richards","HB307","YAY"
"ga2017HB324",97,"Richards","HB324","NAY"
"ga2017HB252",97,"Richards","HB252","YAY"
"ga2017HB305",97,"Richards","HB305","YAY"
"ga2017HB502",97,"Richards","HB502","YAY"
"ga2017SB136",97,"Richards","SB136","YEA"
"ga2017SB021",97,"Richards","SB021","YAY"
"ga2017HB384",97,"Richards","HB384","YAY"
"ga2017SB218",97,"Richards","SB218","YAY"
"ga2017HB403",97,"Richards","HB403","YAY"
"ga2017HB246",97,"Richards","HB246","NAY"
"ga2017HB003",99,"Riggs","HB003","NAY"
"ga2017SB089",99,"Riggs","SB089","YAY"
"ga2017HB301",99,"Riggs","HB301","YAY"
"ga2017HB253",99,"Riggs","HB253","YAY"
"ga2017SB008",99,"Riggs","SB008","NAY"
"ga2017SB004",99,"Riggs","SB004","NAY"
"ga2017HB207",99,"Riggs","HB207","YAY"
"ga2017HB192",99,"Riggs","HB192","YAY"
"ga2017SB079",99,"Riggs","SB079","YAY"
"ga2017HB277",99,"Riggs","HB277","YAY"
"ga2017HB189",99,"Riggs","HB189","YAY"
"ga2017HB222",99,"Riggs","HB222","YAY"
"ga2017HB296",99,"Riggs","HB296","YAY"
"ga2017HB299",99,"Riggs","HB299","YAY"
"ga2017HB050",99,"Riggs","HB050","YAY"
"ga2017HB245",99,"Riggs","HB245","YAY"
"ga2017HB206",99,"Riggs","HB206","YAY"
"ga2017HB001",99,"Riggs","HB001","NAY"
"ga2017HB276",99,"Riggs","HB276","YAY"
"ga2017HCR90",99,"Riggs","HCR90","NV"
"ga2017HB291",99,"Riggs","HB291","YAY"
"ga2017HB293",99,"Riggs","HB293","YAY"
"ga2017SB031",99,"Riggs","SB031","YAY"
"ga2017HB305",99,"Riggs","HB305","NV"
"ga2017HB333",99,"Riggs","HB333","YAY"
"ga2017HB272",99,"Riggs","HB272","YAY"
"ga2017HB520",99,"Riggs","HB520","NAY"
"ga2017HB469",99,"Riggs","HB469","YAY"
"ga2017HB255",99,"Riggs","HB255","YAY"
"ga2017HB540",99,"Riggs","HB540","YAY"
"ga2017HB234",99,"Riggs","HB234","YEA"
"ga2017HB330",99,"Riggs","HB330","YAY"
"ga2017HB183",99,"Riggs","HB183","YAY"
"ga2017HB261",99,"Riggs","HB261","YAY"
"ga2017HB026",99,"Riggs","HB026","YAY"
"ga2017HB378",99,"Riggs","HB378","YEA"
"ga2017HB156",99,"Riggs","HB156","YAY"
"ga2017SB116",99,"Riggs","SB116","NV"
"ga2017HB215",99,"Riggs","HB215","YEA"
"ga2017SB101",99,"Riggs","SB101","YAY"
"ga2017HB241",99,"Riggs","HB241","YAY"
"ga2017HB282",99,"Riggs","HB282","YAY"
"ga2017SB150",99,"Riggs","SB150","YEA"
"ga2017HB311",99,"Riggs","HB311","YAY"
"ga2017SB062",99,"Riggs","SB062","YEA"
"ga2017SB107",99,"Riggs","SB107","NAY"
"ga2017HB481",99,"Riggs","HB481","YAY"
"ga2017HB027",99,"Riggs","HB027","YEA"
"ga2017HB351",99,"Riggs","HB351","NV"
"ga2017HB246",99,"Riggs","HB246","YAY"
"ga2017HB281",99,"Riggs","HB281","NAY"
"ga2017HB268",99,"Riggs","HB268","YAY"
"ga2017HJR56",99,"Riggs","HJR56","YAY"
"ga2017HB417",99,"Riggs","HB417","YAY"
"ga2017SB219",99,"Riggs","SB219","YAY"
"ga2017SB139",99,"Riggs","SB139","YEA"
"ga2017HB223",99,"Riggs","HB223","YAY"
"ga2017SB146",99,"Riggs","SB146","YAY"
"ga2017HB310",99,"Riggs","HB310","YAY"
"ga2017HB453",99,"Riggs","HB453","YAY"
"ga2017HB236",99,"Riggs","HB236","YAY"
"ga2017HB227",99,"Riggs","HB227","YAY"
"ga2017HB002",99,"Riggs","HB002","YEA"
"ga2017HB023",99,"Riggs","HB023","YAY"
"ga2017HB238",99,"Riggs","HB238","NV"
"ga2017HB329",99,"Riggs","HB329","YAY"
"ga2017HB112",99,"Riggs","HB112","YAY"
"ga2017HB271",99,"Riggs","HB271","YAY"
"ga2017HB195",99,"Riggs","HB195","YAY"
"ga2017HB173",99,"Riggs","HB173","NV"
"ga2017SB135",99,"Riggs","SB135","YEA"
"ga2017HB191",99,"Riggs","HB191","YAY"
"ga2017HB337",99,"Riggs","HB337","YAY"
"ga2017SB235",99,"Riggs","SB235","YAY"
"ga2017HB502",99,"Riggs","HB502","YAY"
"ga2017SB042",99,"Riggs","SB042","YAY"
"ga2017SB136",99,"Riggs","SB136","YEA"
"ga2017SB120",99,"Riggs","SB120","YEA"
"ga2017SB006",99,"Riggs","SB006","NAY"
"ga2017HB237",99,"Riggs","HB237","YAY"
"ga2017HB309",99,"Riggs","HB309","YAY"
"ga2017HB153",99,"Riggs","HB153","YAY"
"ga2017HB269",99,"Riggs","HB269","YAY"
"ga2017HB231",99,"Riggs","HB231","NV"
"ga2017HB307",99,"Riggs","HB307","YAY"
"ga2017HB113",99,"Riggs","HB113","YAY"
"ga2017HB484",99,"Riggs","HB484","NAY"
"ga2017HB372",99,"Riggs","HB372","YAY"
"ga2017SB005",99,"Riggs","SB005","NAY"
"ga2017HB172",99,"Riggs","HB172","YAY"
"ga2017HB443",99,"Riggs","HB443","NV"
"ga2017HB359",99,"Riggs","HB359","NV"
"ga2017HB262",99,"Riggs","HB262","YAY"
"ga2017HB078",99,"Riggs","HB078","YAY"
"ga2017HB060",99,"Riggs","HB060","YAY"
"ga2017HB180",99,"Riggs","HB180","YAY"
"ga2017SB012",99,"Riggs","SB012","YEA"
"ga2017HB539",99,"Riggs","HB539","NV"
"ga2017HB239",99,"Riggs","HB239","YAY"
"ga2017SB001",99,"Riggs","SB001","YAY"
