"legislator_id","bill_id","bill","sponsors"
107,"ga2017SB014","SB014","J. Schickel"
107,"ga2017SB048","SB048","J. Schickel"
107,"ga2017SB054","SB054","J. Schickel"
107,"ga2017SB003","SB003","J. Schickel"
124,"ga2017SB189","SB189","J. Turner"
124,"ga2017SB127","SB127","J. Turner"
69,"ga2017SB251","SB251","M. McGarvey"
69,"ga2017SB101","SB101","M. McGarvey"
69,"ga2017SB243","SB243","M. McGarvey"
69,"ga2017SB063","SB063","M. McGarvey"
69,"ga2017SB199","SB199","M. McGarvey"
69,"ga2017SB091","SB091","M. McGarvey"
69,"ga2017SB062","SB062","M. McGarvey"
69,"ga2017SB089","SB089","M. McGarvey"
69,"ga2017SB235","SB235","M. McGarvey"
69,"ga2017SB253","SB253","M. McGarvey"
69,"ga2017SB109","SB109","M. McGarvey"
69,"ga2017SB244","SB244","M. McGarvey"
69,"ga2017SB204","SB204","M. McGarvey"
69,"ga2017SB159","SB159","M. McGarvey"
135,"ga2017SB147","SB147","M. Wilson"
135,"ga2017SB001","SB001","M. Wilson"
135,"ga2017SB015","SB015","M. Wilson"
135,"ga2017SB117","SB117","M. Wilson"
135,"ga2017SB138","SB138","M. Wilson"
135,"ga2017SB226","SB226","M. Wilson"
135,"ga2017SB161","SB161","M. Wilson"
135,"ga2017SB017","SB017","M. Wilson"
135,"ga2017SB080","SB080","M. Wilson"
135,"ga2017SB007","SB007","M. Wilson"
135,"ga2017SB102","SB102","M. Wilson"
135,"ga2017SB005","SB005","M. Wilson"
135,"ga2017SB153","SB153","M. Wilson"
135,"ga2017SB159","SB159","M. Wilson"
135,"ga2017SB021","SB021","M. Wilson"
135,"ga2017SB002","SB002","M. Wilson"
135,"ga2017SB008","SB008","M. Wilson"
135,"ga2017SB013","SB013","M. Wilson"
136,"ga2017SB130","SB130","M. Wise"
136,"ga2017SB099","SB099","M. Wise"
136,"ga2017SB136","SB136","M. Wise"
136,"ga2017SB032","SB032","M. Wise"
136,"ga2017SB003","SB003","M. Wise"
136,"ga2017SB008","SB008","M. Wise"
136,"ga2017SB040","SB040","M. Wise"
136,"ga2017SB117","SB117","M. Wise"
136,"ga2017SB102","SB102","M. Wise"
136,"ga2017SB187","SB187","M. Wise"
136,"ga2017SB231","SB231","M. Wise"
136,"ga2017SB001","SB001","M. Wise"
136,"ga2017SB193","SB193","M. Wise"
136,"ga2017SB005","SB005","M. Wise"
136,"ga2017SB186","SB186","M. Wise"
136,"ga2017SB017","SB017","M. Wise"
136,"ga2017SB006","SB006","M. Wise"
136,"ga2017SB185","SB185","M. Wise"
136,"ga2017SB236","SB236","M. Wise"
136,"ga2017SB031","SB031","M. Wise"
136,"ga2017SB159","SB159","M. Wise"
136,"ga2017SB014","SB014","M. Wise"
136,"ga2017SB002","SB002","M. Wise"
136,"ga2017SB004","SB004","M. Wise"
136,"ga2017SB149","SB149","M. Wise"
136,"ga2017SB226","SB226","M. Wise"
21,"ga2017SB131","SB131","P. Clark"
21,"ga2017SB057","SB057","P. Clark"
21,"ga2017SB105","SB105","P. Clark"
21,"ga2017SB076","SB076","P. Clark"
51,"ga2017SB015","SB015","P. Hornback"
51,"ga2017SB050","SB050","P. Hornback"
51,"ga2017SB010","SB010","P. Hornback"
51,"ga2017SB009","SB009","P. Hornback"
51,"ga2017SB051","SB051","P. Hornback"
51,"ga2017SB014","SB014","P. Hornback"
51,"ga2017SB140","SB140","P. Hornback"
51,"ga2017SB158","SB158","P. Hornback"
51,"ga2017SB129","SB129","P. Hornback"
51,"ga2017SB002","SB002","P. Hornback"
51,"ga2017SB188","SB188","P. Hornback"
51,"ga2017SB007","SB007","P. Hornback"
51,"ga2017SB152","SB152","P. Hornback"
51,"ga2017SB128","SB128","P. Hornback"
3,"ga2017SB150","SB150","R. Alvarado"
3,"ga2017SB007","SB007","R. Alvarado"
3,"ga2017SB111","SB111","R. Alvarado"
3,"ga2017SB050","SB050","R. Alvarado"
3,"ga2017SB102","SB102","R. Alvarado"
3,"ga2017SB095","SB095","R. Alvarado"
3,"ga2017SB001","SB001","R. Alvarado"
3,"ga2017SB086","SB086","R. Alvarado"
3,"ga2017SB159","SB159","R. Alvarado"
3,"ga2017SB002","SB002","R. Alvarado"
3,"ga2017SB014","SB014","R. Alvarado"
