BillNumber,SessionID,BillID
SB040,ga2017,ga2017SB040
SB042,ga2017,ga2017SB042
SB045,ga2017,ga2017SB045
SB046,ga2017,ga2017SB046
SB047,ga2017,ga2017SB047
SB048,ga2017,ga2017SB048
SB049,ga2017,ga2017SB049
SB050,ga2017,ga2017SB050
SB051,ga2017,ga2017SB051
SB053,ga2017,ga2017SB053
SB056,ga2017,ga2017SB056
SB059,ga2017,ga2017SB059
SB061,ga2017,ga2017SB061
SB062,ga2017,ga2017SB062
SB063,ga2017,ga2017SB063
SB065,ga2017,ga2017SB065
SB070,ga2017,ga2017SB070
SB073,ga2017,ga2017SB073
SB075,ga2017,ga2017SB075
SB076,ga2017,ga2017SB076
SB077,ga2017,ga2017SB077
SB078,ga2017,ga2017SB078
SB079,ga2017,ga2017SB079
SB081,ga2017,ga2017SB081
SB082,ga2017,ga2017SB082
SB083,ga2017,ga2017SB083
SB086,ga2017,ga2017SB086
SB088,ga2017,ga2017SB088
SB089,ga2017,ga2017SB089
SB090,ga2017,ga2017SB090
SB091,ga2017,ga2017SB091
SB092,ga2017,ga2017SB092
SB094,ga2017,ga2017SB094
SB095,ga2017,ga2017SB095
SB097,ga2017,ga2017SB097
SB099,ga2017,ga2017SB099
,ga2017,ga2017
,ga2017,ga2017
,ga2017,ga2017
